id,date,code,payment_method,items,total,total_qty,raw_data
30,15/04/2025,INV-20250415-5569,credit card,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
31,08/04/2025,INV-20250408-3238,cash,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
32,23/04/2025,INV-20250423-8487,transfer,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
33,16/04/2025,INV-20250416-3256,transfer,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
34,13/05/2025,INV-20250513-5332,credit card,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
35,05/04/2025,INV-20250405-5764,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
36,19/04/2025,INV-20250419-6021,cash,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
37,17/04/2025,INV-20250417-5889,transfer,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
38,26/04/2025,INV-20250426-5011,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
39,01/05/2025,INV-20250501-1281,transfer,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
40,04/05/2025,INV-20250504-5055,transfer,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
41,09/05/2025,INV-20250509-4089,transfer,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
42,02/04/2025,INV-20250402-3356,e-wallet,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
43,07/05/2025,INV-20250507-7883,cash,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
44,12/04/2025,INV-20250412-9423,transfer,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
45,01/05/2025,INV-20250501-6410,transfer,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
46,20/04/2025,INV-20250420-2036,e-wallet,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
47,21/04/2025,INV-20250421-3903,transfer,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
48,21/05/2025,INV-20250521-1270,transfer,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
49,05/05/2025,INV-20250505-1335,e-wallet,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
50,13/04/2025,INV-20250413-9193,e-wallet,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
51,13/04/2025,INV-20250413-9854,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
52,08/05/2025,INV-20250508-1386,cash,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
53,17/05/2025,INV-20250517-5321,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
54,14/05/2025,INV-20250514-9702,credit card,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
55,22/04/2025,INV-20250422-4068,e-wallet,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
56,17/05/2025,INV-20250517-9313,transfer,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
57,17/05/2025,INV-20250517-7741,credit card,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
58,14/04/2025,INV-20250414-8691,credit card,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
59,05/04/2025,INV-20250405-2183,transfer,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
60,02/04/2025,INV-20250402-8576,credit card,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
61,18/04/2025,INV-20250418-9467,transfer,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
62,11/05/2025,INV-20250511-4086,credit card,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
63,02/05/2025,INV-20250502-6935,cash,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
64,25/04/2025,INV-20250425-4170,e-wallet,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
65,06/05/2025,INV-20250506-2395,credit card,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
66,19/04/2025,INV-20250419-9898,cash,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
67,21/05/2025,INV-20250521-2119,cash,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
68,22/04/2025,INV-20250422-5347,e-wallet,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
69,21/04/2025,INV-20250421-1719,transfer,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
70,18/04/2025,INV-20250418-3891,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
71,14/05/2025,INV-20250514-4529,e-wallet,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
72,28/04/2025,INV-20250428-5409,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
73,02/05/2025,INV-20250502-7526,e-wallet,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
74,10/04/2025,INV-20250410-6119,cash,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
75,09/04/2025,INV-20250409-8511,transfer,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
76,13/04/2025,INV-20250413-7016,transfer,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
77,03/05/2025,INV-20250503-7912,e-wallet,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
78,07/05/2025,INV-20250507-4296,credit card,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
79,13/04/2025,INV-20250413-7271,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
80,10/05/2025,INV-20250510-8692,cash,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
81,16/04/2025,INV-20250416-4064,credit card,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
82,14/04/2025,INV-20250414-3147,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
83,30/04/2025,INV-20250430-6156,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
84,07/05/2025,INV-20250507-5521,credit card,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
85,26/04/2025,INV-20250426-8675,e-wallet,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
86,16/04/2025,INV-20250416-7843,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
87,20/04/2025,INV-20250420-2449,e-wallet,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
88,04/05/2025,INV-20250504-4858,credit card,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
89,20/05/2025,INV-20250520-2623,cash,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
90,21/04/2025,INV-20250421-4796,transfer,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
91,12/05/2025,INV-20250512-4893,cash,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
92,08/05/2025,INV-20250508-5249,transfer,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
93,06/04/2025,INV-20250406-6893,e-wallet,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
94,03/04/2025,INV-20250403-5882,transfer,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
95,28/04/2025,INV-20250428-5202,e-wallet,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
96,18/04/2025,INV-20250418-1612,credit card,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
97,09/04/2025,INV-20250409-7368,e-wallet,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
98,04/05/2025,INV-20250504-9219,credit card,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
99,02/05/2025,INV-20250502-8152,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
100,09/04/2025,INV-20250409-3771,e-wallet,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
101,13/05/2025,INV-20250513-8866,credit card,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
102,21/05/2025,INV-20250521-8398,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
103,25/04/2025,INV-20250425-4960,transfer,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
104,21/04/2025,INV-20250421-2321,cash,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
105,01/04/2025,INV-20250401-8082,transfer,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
106,28/04/2025,INV-20250428-3931,e-wallet,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
107,22/04/2025,INV-20250422-7791,credit card,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
108,21/04/2025,INV-20250421-7033,credit card,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
109,18/05/2025,INV-20250518-1483,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
110,27/04/2025,INV-20250427-7471,transfer,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
111,01/05/2025,INV-20250501-5576,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
112,09/05/2025,INV-20250509-3187,cash,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
113,17/05/2025,INV-20250517-2630,cash,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
114,30/04/2025,INV-20250430-8932,credit card,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
115,29/04/2025,INV-20250429-1203,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
116,09/04/2025,INV-20250409-5256,transfer,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
117,15/05/2025,INV-20250515-6423,credit card,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
118,05/05/2025,INV-20250505-5591,credit card,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
119,21/05/2025,INV-20250521-1841,e-wallet,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
120,03/04/2025,INV-20250403-3597,credit card,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
121,01/04/2025,INV-20250401-3056,credit card,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
122,09/05/2025,INV-20250509-4810,cash,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
123,06/04/2025,INV-20250406-9868,transfer,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
124,19/04/2025,INV-20250419-5532,cash,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
125,11/04/2025,INV-20250411-4903,transfer,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
126,04/05/2025,INV-20250504-1441,cash,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
127,14/04/2025,INV-20250414-6608,credit card,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
128,18/05/2025,INV-20250518-5989,e-wallet,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
129,19/04/2025,INV-20250419-2292,transfer,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
130,11/04/2025,INV-20250411-5487,e-wallet,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
131,12/05/2025,INV-20250512-4210,credit card,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
132,25/04/2025,INV-20250425-3414,transfer,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
133,30/04/2025,INV-20250430-4665,transfer,CNP Baja Ringan Prima Truss 0.75mm,873000,1,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
134,10/04/2025,INV-20250410-7529,credit card,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
135,25/04/2025,INV-20250425-2599,credit card,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
136,17/04/2025,INV-20250417-5847,cash,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
137,12/04/2025,INV-20250412-3530,credit card,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
138,16/05/2025,INV-20250516-9875,cash,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
139,16/04/2025,INV-20250416-4548,transfer,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
140,26/04/2025,INV-20250426-5383,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
141,21/05/2025,INV-20250521-5990,transfer,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
142,26/04/2025,INV-20250426-8801,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
143,19/05/2025,INV-20250519-6058,transfer,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
144,19/04/2025,INV-20250419-4795,e-wallet,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
145,05/05/2025,INV-20250505-1602,transfer,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
146,22/04/2025,INV-20250422-9626,cash,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
147,15/05/2025,INV-20250515-1525,cash,Atap spandek 0.35 mm x 6m,893500,1,"{""Atap spandek 0.35 mm x 6m"":""1x893500""}"
148,30/04/2025,INV-20250430-2431,credit card,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
149,07/04/2025,INV-20250407-8746,cash,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
150,07/05/2025,INV-20250507-2792,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
151,18/04/2025,INV-20250418-4596,credit card,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
152,15/04/2025,INV-20250415-1864,cash,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
153,03/04/2025,INV-20250403-5791,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
154,05/05/2025,INV-20250505-3382,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
155,01/05/2025,INV-20250501-2932,transfer,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
156,06/05/2025,INV-20250506-9689,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
157,20/04/2025,INV-20250420-2687,credit card,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
158,07/05/2025,INV-20250507-9444,cash,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
159,19/05/2025,INV-20250519-8786,credit card,Besi Beton 12 IBD SNI,93500,1,"{""Besi Beton 12 IBD SNI"":""1x93500""}"
160,08/05/2025,INV-20250508-7012,credit card,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
161,11/04/2025,INV-20250411-5839,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
162,15/05/2025,INV-20250515-8648,credit card,Bondek 0.75 x 1000 x 6M,730000,1,"{""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
163,18/05/2025,INV-20250518-7470,credit card,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
164,22/04/2025,INV-20250422-9867,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
165,23/04/2025,INV-20250423-8630,transfer,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
166,08/05/2025,INV-20250508-5888,credit card,Besi Beton 12 TJ SNI,893500,1,"{""Besi Beton 12 TJ SNI"":""1x893500""}"
167,08/04/2025,INV-20250408-5503,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
168,17/04/2025,INV-20250417-1992,cash,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
169,22/04/2025,INV-20250422-6831,transfer,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
170,23/04/2025,INV-20250423-5143,credit card,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
171,06/05/2025,INV-20250506-8850,e-wallet,Besi Wiremesh M8 full SNI,6273000,1,"{""Besi Wiremesh M8 full SNI"":""1x6273000""}"
172,15/05/2025,INV-20250515-2860,e-wallet,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
173,10/04/2025,INV-20250410-7621,cash,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
174,11/05/2025,INV-20250511-1039,transfer,Atap spandek 0.25 mm x 6m 1kg,198000,1,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000""}"
175,05/04/2025,INV-20250405-5316,cash,WF 150 x 75 mm x 12m,2722500,1,"{""WF 150 x 75 mm x 12m"":""1x2722500""}"
176,15/05/2025,INV-20250515-2180,credit card,CNP Baja Ringan Prima Truss 0.65mm,73000,1,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
